YearForWkMon,WeekNoMon,CustomerForPlan1,Zone Manager,Forecast_PlanningUnit_Chicken_BB,Forecast_PlanningUnit_Chicken_Other,Forecast_PlanningUnit_Chicken_Thighs,Forecast_PlanningUnit_Chicken_Whole,Forecast_PlanningUnit_Chicken_Wings,Forecast_PlanningUnit_Pork_Belly,Forecast_PlanningUnit_Pork_Ground,Forecast_PlanningUnit_Pork_Hip,Forecast_PlanningUnit_Pork_Neck,Forecast_PlanningUnit_Pork_Rib,Forecast_PlanningUnit_Pork_Shoulder,Forecast_PlanningUnit_Pork_Sirloin,Forecast_PlanningUnit_Pork_Whole,Forecast_BaseUnit_Chicken_BB,Forecast_BaseUnit_Chicken_Other,Forecast_BaseUnit_Chicken_Thighs,Forecast_BaseUnit_Chicken_Whole,Forecast_BaseUnit_Chicken_Wings,Forecast_BaseUnit_Pork_Belly,Forecast_BaseUnit_Pork_Ground,Forecast_BaseUnit_Pork_Hip,Forecast_BaseUnit_Pork_Neck,Forecast_BaseUnit_Pork_Rib,Forecast_BaseUnit_Pork_Shoulder,Forecast_BaseUnit_Pork_Sirloin,Forecast_BaseUnit_Pork_Whole,Order_PlanningUnit_Chicken_BB,Order_PlanningUnit_Chicken_Other,Order_PlanningUnit_Chicken_Thighs,Order_PlanningUnit_Chicken_Whole,Order_PlanningUnit_Chicken_Wings,Order_PlanningUnit_Pork_Belly,Order_PlanningUnit_Pork_Ground,Order_PlanningUnit_Pork_Hip,Order_PlanningUnit_Pork_Neck,Order_PlanningUnit_Pork_Rib,Order_PlanningUnit_Pork_Shoulder,Order_PlanningUnit_Pork_Sirloin,Order_PlanningUnit_Pork_Whole,Order_BaseUnit_Chicken_BB,Order_BaseUnit_Chicken_Other,Order_BaseUnit_Chicken_Thighs,Order_BaseUnit_Chicken_Whole,Order_BaseUnit_Chicken_Wings,Order_BaseUnit_Pork_Belly,Order_BaseUnit_Pork_Ground,Order_BaseUnit_Pork_Hip,Order_BaseUnit_Pork_Neck,Order_BaseUnit_Pork_Rib,Order_BaseUnit_Pork_Shoulder,Order_BaseUnit_Pork_Sirloin,Order_BaseUnit_Pork_Whole,Weigth_KG_Chicken_BB,Weigth_KG_Chicken_Other,Weigth_KG_Chicken_Thighs,Weigth_KG_Chicken_Whole,Weigth_KG_Chicken_Wings,Weigth_KG_Pork_Belly,Weigth_KG_Pork_Ground,Weigth_KG_Pork_Hip,Weigth_KG_Pork_Neck,Weigth_KG_Pork_Rib,Weigth_KG_Pork_Shoulder,Weigth_KG_Pork_Sirloin,Weigth_KG_Pork_Whole,Quantity_Chicken_BB,Quantity_Chicken_Other,Quantity_Chicken_Thighs,Quantity_Chicken_Whole,Quantity_Chicken_Wings,Quantity_Pork_Belly,Quantity_Pork_Ground,Quantity_Pork_Hip,Quantity_Pork_Neck,Quantity_Pork_Rib,Quantity_Pork_Shoulder,Quantity_Pork_Sirloin,Quantity_Pork_Whole,Price_KG_Chicken_BB,Price_KG_Chicken_Other,Price_KG_Chicken_Thighs,Price_KG_Chicken_Whole,Price_KG_Chicken_Wings,Price_KG_Pork_Belly,Price_KG_Pork_Ground,Price_KG_Pork_Hip,Price_KG_Pork_Neck,Price_KG_Pork_Rib,Price_KG_Pork_Shoulder,Price_KG_Pork_Sirloin,Price_KG_Pork_Whole
2023,17,CPFT BKK,BKK,257883,0,230031,12076,24067,20694,11149,15756,9769,17004,6451,13122,4677,257883,0,230031,31135.2,24067,20694,11149,15756,9769,17004,6451,13122,531329.9984,214161,0,65635,15059.3017,17112,15878.5,8612.75,12939,7518,15234,6832,8600,3762.5953,214161,0,65635,32900.35,17112,15878.5,8612.75,12939,7518,15234,6832,8600,458424.87,194051,0,50929,30702.3,12914,11588.43,4396.43,9986.53,6022.81,6138.59,3772.42,6979.13,368329.54,72874,0,13372,11364,8672,12605.43,3250.43,9989.53,6865.31,5682.59,3814.42,7064.13,3561,63.8884503,0,74.85115632,55.3502223,78.54188168,189.48643,127.1669013,123.0851657,197.2378391,118.3073703,119.8915444,143.7222734,89.05147114
2023,17,CPFT ภาคเหนือบน,UPPER NORTH,25161,2504,17985,13366,2876,16071,2610,18410,5858,8316,9398,3670,2676,61373,4849.95,36573,97981.91,7088,16071,2610,18410,5858,8316,9398,3670,293430,32547,2666.6173,18798.8,8871.0228,8105,12551,2532,17420,2831,6068,7830,4088,2619.8758,60975,4739.28,39898,66971.28,12029,12551,2532,17420,2831,6068,7830,4088,277017,60835,3169.64,36271,57641.85,11708,9857.77,2391.2,15744.95,2649.97,4174.29,7130.82,3631.16,223587.35,19805,2627,11068,8164,4424,10252.77,1432.28,15744.95,2744.97,4174.29,7130.82,3631.16,5505.5,62.4872238,92.09761361,69.01383667,59.09833272,89.83226085,162.4973437,124.4948185,123.0788596,172.4368087,129.9104039,119.8855349,135.3767143,97.7420918
2023,17,CPFT ภาคเหนือล่าง,LOWER NORTH,35289,236,44977,15958,4775,18248,1860,12486,5114,8145,8866,8030,1808,42457,2124,54049,122846.1,6547,18248,1860,12486,5114,8145,8866,8030,205569.9986,37060,307,69239,11261.5972,6576,13236,2110,12658.16,2518,6893,9751.47,6362.01,1660.212,43160,1899,73923,86784.2,7968,13236,2110,12658.16,2518,6893,9751.47,6362.01,192425,41922,1289.65,61508,66708.34,7763,13125.75,2084.32,12161.13,2302.51,4335.02,9705.82,6205.72,155573.91,10062,259,16646,9333,2607,13430.75,1693.32,12161.13,2452.51,4106.19,9705.82,6265.72,1663,62.25514026,57.97145737,69.26772745,63.67258142,88.5450161,181.8609817,120.4630143,123.776927,177.2761942,141.9082011,118.6975392,130.3441535,92.36385773
2023,17,CPFT ภาคใต้,SOUTH,68980,0,2697,99909,2592,58373,9421,17759,33543,12540,8972,12180,3337,80456,0,10757,446052.5,4464,58373,9421,17759,33543,12540,8972,12180,272585,150958,0,3315,116673.66,674,17446,7555,13770,10222,12580,8078,7038,3553.9258,161174,0,11919,420700.65,2474,17446,7555,13770,10222,12580,8078,7038,269265,160194,0,10999,295911.08,2344,12767.46,7373,13172.97,9832.43,6830.62,7432.12,6020.48,216253.2,76380,0,2513,79268,530,13398.46,4513,13172.97,7318.81,6830.62,7432.12,6610.48,3059,62.50309213,0,73.81053732,57.21162901,92.24422782,190.1185576,121.7336973,123.5702283,153.4157741,156.7119925,121.8855078,145.0847706,97.08389171
2023,17,CPFT ภาคกลาง ตะวันตก,WEST,63821,171,112610,7292,8739,21477,11309,19637,7205,10701,6224,17814,10990,63821,1539,112610,34921.8,8739,21477,11309,19637,7205,10701,6224,17814,213360,65678,2154,66851,8101.9664,6976,12603.39,8903,14161.54,3361.55,6976.09,4782.03,9440.43,9606.57305,65678,9786,66851,30478.3,6976,12603.39,8903,14161.54,3361.55,6976.09,4782.03,9440.43,232290,67831,7649.4,61731,28680.3,6617,14436.04,11326.2,15594.48,4500.33,9106.12,6150.34,8172.67,192300.22,15347,2153,18063,8100,2535,15353.54,10520.2,15594.48,5156.73,8990.12,6150.34,8330.67,7301.29,62.13397827,50.02514446,69.50780094,58.9321468,82.26724346,192.9098305,121.7700985,121.1968556,179.9622828,130.1134885,121.1835833,138.1163855,94.54529766
2023,17,CPFT ภาคตะวันออก,EAST,52254,0,125733,13038,16463,16444,9313,11917,6018,10076,6690,7683,2417,52282,0,125817,88266.5,16467,16444,9313,11917,6018,10076,6690,7683,270719.988,65254,0,68399,16081.8596,19727,14323.5,10583,15138,4457.8,12672,7082.5,6506,3024.2275,65254,0,68399,101571.8,19727,14323.5,10583,15138,4457.8,12672,7082.5,6506,335595,62057,0,62329,78509,10297,11406.43,7696.81,14293.89,4130.04,7831.74,7090.06,6849.08,288507.93,12610,0,13121,13345,2477,12070.43,6188.81,14293.89,4674.04,7439.24,7090.06,6928.58,3076.6494,62.75007171,0,73.29656949,60.68272325,93.29628144,197.1289404,125.7029107,121.6781142,174.0828927,138.7505076,121.223338,141.4242818,93.33714702
2023,17,CPFT ภาคอีสานบน,UPPER NORTHEAST,37446,130,40245,19963,10330,18896,10130,32963,10422,15990,12180,17328,738,37494,170,40337,108435.99,10402,18896,10130,32963,10422,15990,12180,17328,67010,26189,204,28352,19607.3585,6252,18659,9753,27319,5316,15998,10539,12416,754.7496,26213,236,28368,96907.7,6264,18659,9753,27319,5316,15998,10539,12416,73885,25344,608.2,23353,55242.93,4369,19147.7,9505.47,27288.39,5531.85,12813.78,10891.85,12707.5,61454.02,5517,181,5270,12857,1247,19302.7,9487.26,27288.39,5686.85,12813.78,10891.85,12729,1687.82,65.85560093,66.7298586,76.70441656,71.22278073,96.83561227,172.5117837,118.9625111,125.9611131,166.6857399,119.5859621,123.3871032,137.5053866,94.09234953
2023,17,CPFT ภาคอีสานล่าง,LOWER NORTHEAST,47602,499,83817,13738,11678,32939,15685,41840,15211,23700,24125,29538,1301,108670,4491,174997,68522,17070,32939,15685,41840,15211,23700,24125,29538,121995,70797.8,380.6667,64018,11359.4402,10623.2,39453,15582,31082,7206,18305.7,20523,18872,1217.08158,132697,3426,128562,48047.5,15140,39453,15582,31082,7206,18305.7,20523,18872,118751,117512,2702.1,102211,30010.11,13539,37380.42,14941.59,29697.46,6651.63,13887.95,20056.92,18090.25,94769.54,24469,395,21248,8423,3297,37560.42,13823.59,29697.46,6751.63,13887.95,20056.92,18131.25,8600.798,62.63249881,58.09047037,73.30577589,67.29925748,95.97954945,165.7751331,118.1010421,126.0685156,163.9580599,125.2540987,122.012315,137.7823413,94.26381705
2023,18,CPFT BKK,BKK,230370,0,158053,9412,29545,23147,11243,15271,9806,17779,6810,13766,3945,230370,0,158053,17020.1,29545,23147,11243,15271,9806,17779,6810,13766,469155,66276,0,42246,15888.6535,11997,15116,7331,12816,9323.5,12097,6075.5,6780.8,3771.9404,66276,0,42246,33567.1,11997,15116,7331,12816,9323.5,12097,6075.5,6780.8,454015,253414,0,80298,57489.7,22295,21826.86,7901.47,20624.39,13449,11670.29,7047.96,12756.09,738797.6,89214,0,22044,21663,14203,24034.36,6210.47,20630.39,15011.5,10862.29,7107.96,12991.29,7136.8633,64.92231116,0,77.32201425,54.92995667,80.19863063,187.3124036,128.0262344,117.7420986,191.4682214,120.1558085,111.3252402,142.8675801,86.83634936
2023,18,CPFT ภาคเหนือบน,UPPER NORTH,48694,1755,37190,9583,8968,16084,2650,16365,4052,7470,7618,4013,2639,48694,2614.95,37190,73511.5,8968,16084,2650,16365,4052,7470,7618,4013,285305,30806,2146.5971,31230,9375.3518,12376,13116,2815,18546.01,3208,5398,9177,3812,2790.9842,30806,4121.55,31230,74698.58,12376,13116,2815,18546.01,3208,5398,9177,3812,297550,91502,5821.44,66760,114723.04,24003,20730.26,4886.34,31390.92,5519.03,8666.16,15596.82,7203.9,464903.56,26936,4660,18972,16090,9166,21350.26,2924.87,31390.92,5739.03,8666.16,15596.82,7203.9,11189.4,63.01395827,89.31542196,70.51555632,59.15937226,90.68774278,158.37718,124.1441447,120.6145838,170.1408255,130.6687599,116.7732999,132.7130068,95.95296029
